ticker,construction_date,expiry,dte_bucket,dte,spot,S_T,method,q2p5,q16,q50,q84,q97p5,tail_clip,status,regime_vol,regime,cov68,cov95,winkler68,winkler95,crps,pit,crps_truncated
QQQ,2025-02-14,2025-02-21,7,7,538.15,526.08,bl,491.6057822542898,509.0237024563355,546.8887463738262,568.4718214067958,589.2975955614157,True,ok,0.17351838251273138,low,1.0,1.0,59.4481189504603,97.69181330712593,12.45523156907705,0.439024724242766,False
QQQ,2025-02-19,2025-03-21,30,30,539.52,480.84,atm_iv_normal,490.68343707430995,514.5425212517463,539.1472018097276,564.4974787482537,588.35656292569,False,ok,0.1622973655856435,low,0.0,0.0,260.5957153199218,491.41060882377906,44.1200142658415,0.009339853149267033,False
QQQ,2025-02-19,2025-03-21,30,30,539.52,480.84,bl,435.1359418878727,439.1541011254555,569.4572649727842,596.4363341394118,625.7114942989436,False,ok,0.1622973655856435,low,1.0,1.0,157.28223301395627,190.57555241107093,43.32453039565867,0.2140863240275684,False
QQQ,2025-03-14,2025-03-21,7,7,479.66,480.84,atm_iv_normal,441.94490309568874,460.37059929321487,479.3720984969137,498.94940070678524,517.3750969043114,False,ok,0.26749764377913443,mid,1.0,1.0,38.578801413570375,75.43019380862262,4.522226267805351,0.5305551555917802,False
QQQ,2025-03-14,2025-03-21,7,7,479.66,480.84,bl,438.7140688740262,440.041061194326,455.96496903792394,555.0470622869775,574.9519470914748,False,ok,0.26749764377913443,mid,1.0,1.0,115.0060010926515,136.2378782174486,17.126882987393675,0.6034319772926701,False
QQQ,2025-03-18,2025-04-17,30,30,474.54,444.1,atm_iv_normal,408.05114706620026,440.5342507895833,475.04754849567786,508.54574921041666,541.0288529337997,False,ok,0.26290307390655593,mid,1.0,1.0,68.01149842083333,132.97770586759947,17.73747669885236,0.18760170215024935,False
QQQ,2025-03-18,2025-04-17,30,30,474.54,444.1,bl,371.49693570067876,445.00340767804266,461.7517177488345,527.8144963614021,569.6852715383816,False,ok,0.26290307390655593,mid,0.0,1.0,88.45738667112596,198.18833583770282,14.440805482622155,0.15081130450157984,False
QQQ,2025-04-10,2025-04-17,7,7,446.18,444.1,atm_iv_normal,382.9507518078717,413.84137687883515,446.66266601673374,478.5186231211648,509.40924819212825,False,ok,0.5622174657332589,high,1.0,1.0,64.67724624232966,126.45849638425653,7.5348236917424645,0.4801558297906535,False
QQQ,2025-04-10,2025-04-17,7,7,446.18,444.1,bl,309.43634015237143,315.81361239565507,474.1825397705321,540.0810196177964,621.9226800732697,True,ok,0.5622174657332589,high,1.0,1.0,224.26740722214134,312.4863399208983,22.843592298712387,0.45879977222669016,False
QQQ,2025-04-16,2025-05-16,30,30,444.18,521.51,atm_iv_normal,362.90892806926524,402.6138792415326,443.5596101379333,485.7461207584674,525.4510719307348,False,ok,0.5631512368150967,high,0.0,1.0,306.6564867765136,162.54214386146953,55.47649224651996,0.9705796049361503,False
QQQ,2025-04-16,2025-05-16,30,30,444.18,521.51,bl,309.2469227624999,398.15963378760955,472.9871628681474,490.59364029886217,512.6017370872556,False,ok,0.5631512368150967,high,0.0,0.0,285.66125464336403,559.6853308345303,48.05674984599093,0.9970258453942391,False
QQQ,2025-05-09,2025-05-16,7,7,487.97,521.51,atm_iv_normal,455.2583701307338,471.23962441800893,487.72029290176135,504.7003755819912,520.6816298692663,False,ok,0.2856028135306552,high,0.0,0.0,138.5209037765373,98.55806496787949,24.80048074603461,0.979060293463377,False
QQQ,2025-05-09,2025-05-16,7,7,487.97,521.51,bl,408.4761934308382,434.2865023564131,490.956963258219,529.1113329742863,553.7994545552709,True,ok,0.2856028135306552,high,1.0,1.0,94.82483061787315,145.32326112443275,16.99161488057315,0.7341056792812732,False
AAPL,2024-12-18,2025-01-17,30,30,248.05,229.98,atm_iv_normal,220.2019566712481,233.80710761048567,248.2625804834256,262.29289238951435,275.89804332875195,False,ok,0.13086099011363436,low,0.0,1.0,52.4052073445642,55.696086657503855,11.23840153551693,0.10324945173033125,False
AAPL,2024-12-18,2025-01-17,30,30,248.05,229.98,bl,213.71602491769193,216.77985785091195,252.232781792458,283.089956334174,289.4364674101298,True,ok,0.13086099011363436,low,1.0,1.0,66.31009848326207,75.72044249243788,12.175609160875577,0.415931322037626,False
AAPL,2025-01-10,2025-01-17,7,7,236.85,229.98,atm_iv_normal,221.90612972349547,229.20695184331447,236.96407534562215,244.4930481566855,251.7938702765045,False,ok,0.19881119707310013,low,1.0,1.0,15.286096313371019,29.887740553009024,3.936897255408725,0.18659478692755488,False
AAPL,2025-01-10,2025-01-17,7,7,236.85,229.98,bl,220.6268162976173,232.42517658182967,239.47141952934544,240.94621456487198,241.4378129100475,False,ok,0.19881119707310013,low,0.0,1.0,23.803391619477836,20.810996612430216,5.3539421196851595,0.10541289840504244,False
AAPL,2025-01-22,2025-02-21,30,30,223.83,245.55,atm_iv_normal,182.72302179048776,202.80582030505863,224.1437937267902,244.8541796949414,264.9369782095123,False,ok,0.25803531421110343,low,0.0,1.0,46.39723629649912,82.21395641902453,13.382673531832523,0.8544919041497078,False
AAPL,2025-01-22,2025-02-21,30,30,223.83,245.55,bl,184.17527427852855,186.5671609574705,225.31572515632973,264.06428935518903,266.4561760341309,False,ok,0.25803531421110343,low,1.0,1.0,77.49712839771854,82.28090175560237,12.773468742773133,0.6951953083716051,False
AAPL,2025-02-14,2025-02-21,7,7,244.6,245.55,atm_iv_normal,231.5028596505205,237.90146256935017,244.5000218293933,251.29853743064984,257.6971403494795,False,ok,0.33218732525534245,mid,1.0,1.0,13.397074861299672,26.194280698959034,1.6248200854953514,0.5627393080402873,False
AAPL,2025-02-14,2025-02-21,7,7,244.6,245.55,bl,233.3331518105781,238.7700407848052,244.81102853394637,246.01922608377458,277.43236237930876,False,ok,0.33218732525534245,mid,1.0,1.0,7.249185298969394,44.099210568730655,1.1025616347433749,0.7595701184590992,False
AAPL,2025-02-19,2025-03-21,30,30,244.87,218.27,atm_iv_normal,216.15675377797433,230.1845992604907,244.65081491433568,259.5554007395093,273.5832462220257,False,ok,0.2938587707541878,mid,0.0,1.0,103.83704685708543,57.42649244405138,18.440630136569514,0.03515930592376968,False
AAPL,2025-02-19,2025-03-21,30,30,244.87,218.27,bl,161.2583273368806,192.66894351851886,266.303666698425,291.53514527056063,323.46068958632407,False,ok,0.2938587707541878,mid,1.0,1.0,98.86620175204177,162.20236224944347,22.722002901364554,0.39458980583854475,False
AAPL,2025-03-14,2025-03-21,7,7,213.49,218.27,atm_iv_normal,195.4009965744972,204.23837229382684,213.3519160043855,222.74162770617323,231.57900342550283,False,ok,0.2989983638279974,mid,1.0,1.0,18.50325541234639,36.17800685100562,3.1190661958371777,0.7038724982795999,False
AAPL,2025-03-14,2025-03-21,7,7,213.49,218.27,bl,198.07393904842922,202.09395937540944,214.15402035635014,222.69656355118315,230.48535293470735,False,ok,0.2989983638279974,mid,1.0,1.0,20.602604175773706,32.411413886278126,2.9421105231259888,0.6996240683780025,False
AAPL,2025-03-18,2025-04-17,30,30,212.69,196.98,atm_iv_normal,176.64515014746837,194.25484778534644,212.4148484744082,231.1251522146536,248.73484985253162,False,ok,0.27912295271686627,low,1.0,1.0,36.87030442930717,72.08969970506325,9.219391192210933,0.19945755053110548,False
AAPL,2025-03-18,2025-04-17,30,30,212.69,196.98,bl,153.87687004618255,178.86642173429092,220.78437940466628,240.1311290986857,265.92679535737824,False,ok,0.27912295271686627,low,1.0,1.0,61.26470736439478,112.0499253111957,13.275993745105177,0.20820349325498053,False
AAPL,2025-04-10,2025-04-17,7,7,190.42,196.98,atm_iv_normal,153.53942176934373,171.55741418737426,190.13846886846824,209.28258581262568,227.3005782306562,False,ok,0.7469699727562189,high,1.0,1.0,37.72517162525142,73.76115646131248,5.394757466868166,0.6426022217425917,False
AAPL,2025-04-10,2025-04-17,7,7,190.42,196.98,bl,116.80012780714581,122.01700696478508,199.69054108963638,243.74418730970132,331.8514797498312,True,ok,0.7469699727562189,high,1.0,1.0,121.72718034491623,215.05135194268536,19.14845858307065,0.48637735783002833,False
AAPL,2025-04-16,2025-05-16,30,30,194.27,211.26,atm_iv_normal,143.7555025558028,168.43434100182282,193.88439314928095,220.10565899817723,244.78449744419726,False,ok,0.7679468224980713,high,1.0,1.0,51.67131799635442,101.02899488839446,10.588868310244314,0.7509713286921906,False
AAPL,2025-04-16,2025-05-16,30,30,194.27,211.26,bl,130.97547514774342,163.12634935919417,195.27722357064488,221.34549995830764,252.19296035037522,False,ok,0.7679468224980713,high,1.0,1.0,58.219150599113476,121.21748520263179,10.436598285813329,0.6458430133451795,False
AAPL,2025-05-09,2025-05-16,7,7,198.53,211.26,atm_iv_normal,180.24914312264588,189.18024877265094,198.39045147421868,207.87975122734906,216.81085687735413,False,ok,0.3708005500512364,high,0.0,1.0,39.82605728376643,36.56171375470825,8.408669989612367,0.9172484327609661,False
AAPL,2025-05-09,2025-05-16,7,7,198.53,211.26,bl,173.38842504307232,188.71106460574487,199.40800165893137,208.0811938642177,228.0295359363763,False,ok,0.3708005500512364,high,0.0,1.0,39.2376676071121,54.64111089330399,8.393229474680208,0.9505453165519213,False
