ticker,construction_date,expiry,dte_bucket,dte,spot,S_T,method,q2p5,q16,q50,q84,q97p5,tail_clip,status,regime_vol,regime,cov68,cov95,winkler68,winkler95,crps,pit,crps_truncated
QQQ,2025-06-18,2025-07-18,30,30,528.99,561.26,atm_iv_normal,476.9761350562272,502.3874889218872,528.5929475958491,555.5925110781129,581.0038649437729,False,ok,0.14403059830374612,low,0.0,1.0,88.6268279180199,104.02772988754572,20.76903086143131,0.8919902960164531,False
QQQ,2025-06-18,2025-07-18,30,30,528.99,561.26,bl,437.4684184938546,501.42425678774345,542.8382832239502,553.322846878686,565.904323264369,False,ok,0.14403059830374612,low,0.0,1.0,101.50579709915473,128.43590477051447,14.088447940681581,0.8713345601461046,False
QQQ,2025-06-18,2025-07-18,30,30,528.99,561.26,corrected,461.7032911553589,511.64749969277716,535.9446822244942,554.842490860274,577.7898299180067,False,ok,0.14403059830374612,low,0.0,1.0,83.30442329078437,116.08653876264782,17.316322678966344,0.9053360554525615,False
QQQ,2025-07-11,2025-07-18,7,7,554.2,561.26,atm_iv_normal,534.4108957196012,544.0788550626968,554.3510618647359,564.3211449373032,573.9891042803988,False,ok,0.12325822713364337,low,1.0,1.0,20.2422898746064,39.578208560797634,4.3795396174002805,0.76356644379663,False
QQQ,2025-07-11,2025-07-18,7,7,554.2,561.26,bl,512.2120797796875,516.4793027496609,562.5203926888477,589.9204559697297,599.3532646401972,True,ok,0.12325822713364337,low,1.0,1.0,73.44115322006883,87.14118486050961,12.74353132006981,0.49286745946564453,False
QQQ,2025-07-11,2025-07-18,7,7,554.2,561.26,corrected,530.6990837808054,545.6850153523985,555.8449689602584,564.4809295269392,572.6088924132271,False,ok,0.12325822713364337,low,1.0,1.0,18.795914174540712,41.90980863242169,3.5844612389767074,0.73891879941792,False
QQQ,2025-07-16,2025-08-15,30,30,557.29,577.34,atm_iv_normal,494.9198118611737,525.390743470982,557.7661083064032,589.1892565290179,619.6601881388262,False,ok,0.10994619907908121,low,1.0,1.0,63.79851305803595,124.74037627765256,12.678869357140064,0.7415905951444841,False
QQQ,2025-07-16,2025-08-15,30,30,557.29,577.34,bl,487.1109182615639,489.78816093523756,570.1054411454489,624.7211916883929,640.784647730435,True,ok,0.10994619907908121,low,1.0,1.0,134.93303075315532,153.67372946887116,23.45559047263452,0.518223581881997,False
QQQ,2025-07-16,2025-08-15,30,30,557.29,577.34,corrected,494.491885131654,539.4770681417923,563.2549505900083,582.5343147372104,605.6695517138529,False,ok,0.10994619907908121,low,1.0,1.0,43.057246595418064,111.17766658219892,9.157015619196,0.7751103299957945,False
QQQ,2025-08-08,2025-08-15,7,7,574.55,577.34,atm_iv_normal,552.9538945709733,563.504663635536,574.3851442333662,585.5953363644641,596.1461054290268,False,ok,0.12239302851529384,low,1.0,1.0,22.090672728928098,43.1922108580535,2.964740668488364,0.6062421254379784,False
QQQ,2025-08-08,2025-08-15,7,7,574.55,577.34,bl,530.0094922153554,551.1976479679585,578.0139075923468,598.8709984113156,626.3493879029727,True,ok,0.12239302851529384,low,1.0,1.0,47.673350443357094,96.33989568761729,4.768076221097632,0.43944688696780954,False
QQQ,2025-08-08,2025-08-15,7,7,574.55,577.34,corrected,552.7234984580065,564.688096429765,575.2024401019163,586.0793473489695,598.4065088956297,False,ok,0.12239302851529384,low,1.0,1.0,21.39125091920448,45.68301043762324,2.786946788161241,0.5908400755830261,False
QQQ,2025-08-20,2025-09-19,30,30,565.9,599.35,atm_iv_normal,509.20381522877483,536.9027146589917,566.3327953035971,594.8972853410082,622.5961847712251,False,ok,0.1378316961455793,low,0.0,1.0,85.82403730071522,113.3923695424503,20.8370001244252,0.880451344792399,False
